volatile acidity,free sulfur dioxide,chlorides,density,pH,quality white
0.76 g(acetic acid)/dm^3,27.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.9932 g/cm^3,3.34 ,False
0.46 g(acetic acid)/dm^3,18.0 mg/dm^3,0.077 g(sodium chloride)/dm^3,0.9948 g/cm^3,3.39 ,False
0.41 g(acetic acid)/dm^3,25.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.99086 g/cm^3,3.05 ,True
0.21 g(acetic acid)/dm^3,12.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9926 g/cm^3,2.8 ,False
0.22 g(acetic acid)/dm^3,25.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.99356 g/cm^3,3.17 ,True
0.24 g(acetic acid)/dm^3,48.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9958 g/cm^3,3.45 ,True
0.2 g(acetic acid)/dm^3,19.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.99444 g/cm^3,3.04 ,True
0.17 g(acetic acid)/dm^3,29.0 mg/dm^3,0.025 g(sodium chloride)/dm^3,0.9938 g/cm^3,3.2 ,True
0.28 g(acetic acid)/dm^3,30.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,1.00196 g/cm^3,3.01 ,False
0.545 g(acetic acid)/dm^3,11.0 mg/dm^3,0.068 g(sodium chloride)/dm^3,0.996 g/cm^3,3.34 ,False
0.17 g(acetic acid)/dm^3,13.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.9918 g/cm^3,3.05 ,False
0.28 g(acetic acid)/dm^3,16.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9933 g/cm^3,3.16 ,False
0.4 g(acetic acid)/dm^3,40.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.9975 g/cm^3,3.14 ,False
0.47 g(acetic acid)/dm^3,14.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,0.99516 g/cm^3,3.18 ,False
0.175 g(acetic acid)/dm^3,20.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.99112 g/cm^3,3.28 ,True
0.28 g(acetic acid)/dm^3,61.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99592 g/cm^3,3.12 ,True
0.37 g(acetic acid)/dm^3,23.0 mg/dm^3,0.061 g(sodium chloride)/dm^3,0.9954 g/cm^3,3.14 ,True
0.39 g(acetic acid)/dm^3,13.0 mg/dm^3,0.098 g(sodium chloride)/dm^3,0.99657 g/cm^3,3.03 ,False
0.775 g(acetic acid)/dm^3,12.0 mg/dm^3,0.079 g(sodium chloride)/dm^3,0.9976 g/cm^3,3.18 ,False
0.24 g(acetic acid)/dm^3,41.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.9927 g/cm^3,3.28 ,True
0.75 g(acetic acid)/dm^3,12.0 mg/dm^3,0.086 g(sodium chloride)/dm^3,0.9958 g/cm^3,3.38 ,False
0.25 g(acetic acid)/dm^3,81.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.992 g/cm^3,3.14 ,False
0.33 g(acetic acid)/dm^3,18.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.9911 g/cm^3,3.2 ,False
0.27 g(acetic acid)/dm^3,25.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.99088 g/cm^3,2.97 ,True
0.3 g(acetic acid)/dm^3,57.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.9966 g/cm^3,3.08 ,True
0.23 g(acetic acid)/dm^3,16.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.99486 g/cm^3,3.44 ,True
0.32 g(acetic acid)/dm^3,17.0 mg/dm^3,0.132 g(sodium chloride)/dm^3,0.99734 g/cm^3,3.28 ,False
0.41 g(acetic acid)/dm^3,20.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.99362 g/cm^3,3.19 ,False
0.48 g(acetic acid)/dm^3,10.0 mg/dm^3,0.089 g(sodium chloride)/dm^3,0.99684 g/cm^3,3.37 ,False
0.31 g(acetic acid)/dm^3,21.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.99304 g/cm^3,3.13 ,False
0.76 g(acetic acid)/dm^3,26.0 mg/dm^3,0.072 g(sodium chloride)/dm^3,0.99379 g/cm^3,3.51 ,False
0.23 g(acetic acid)/dm^3,15.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.9934 g/cm^3,3.02 ,True
0.28 g(acetic acid)/dm^3,36.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,0.99911 g/cm^3,3.14 ,False
0.23 g(acetic acid)/dm^3,60.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,0.992 g/cm^3,3.11 ,True
0.25 g(acetic acid)/dm^3,56.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,0.994 g/cm^3,3.22 ,True
0.27 g(acetic acid)/dm^3,2.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.99402 g/cm^3,3.07 ,False
0.25 g(acetic acid)/dm^3,52.0 mg/dm^3,0.059 g(sodium chloride)/dm^3,0.9984 g/cm^3,3.51 ,True
0.37 g(acetic acid)/dm^3,58.0 mg/dm^3,0.094 g(sodium chloride)/dm^3,0.99776 g/cm^3,2.91 ,False
0.51 g(acetic acid)/dm^3,13.0 mg/dm^3,0.084 g(sodium chloride)/dm^3,0.99538 g/cm^3,3.36 ,False
0.34 g(acetic acid)/dm^3,70.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99558 g/cm^3,3.14 ,True
0.32 g(acetic acid)/dm^3,6.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.99424 g/cm^3,3.16 ,False
0.32 g(acetic acid)/dm^3,27.0 mg/dm^3,0.074 g(sodium chloride)/dm^3,0.9969 g/cm^3,3.28 ,False
0.62 g(acetic acid)/dm^3,8.0 mg/dm^3,0.079 g(sodium chloride)/dm^3,0.997 g/cm^3,3.52 ,False
0.26 g(acetic acid)/dm^3,39.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,0.9965 g/cm^3,3.65 ,False
0.69 g(acetic acid)/dm^3,15.0 mg/dm^3,0.091 g(sodium chloride)/dm^3,0.99572 g/cm^3,3.38 ,False
0.31 g(acetic acid)/dm^3,6.0 mg/dm^3,0.075 g(sodium chloride)/dm^3,1.0008 g/cm^3,2.86 ,False
0.37 g(acetic acid)/dm^3,25.0 mg/dm^3,0.083 g(sodium chloride)/dm^3,0.9995 g/cm^3,3.15 ,False
0.33 g(acetic acid)/dm^3,46.0 mg/dm^3,0.027 g(sodium chloride)/dm^3,0.9924 g/cm^3,3.25 ,True
0.16 g(acetic acid)/dm^3,34.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.99047 g/cm^3,2.88 ,True
0.39 g(acetic acid)/dm^3,12.0 mg/dm^3,0.093 g(sodium chloride)/dm^3,0.9996 g/cm^3,3.18 ,False
0.32 g(acetic acid)/dm^3,14.0 mg/dm^3,0.02 g(sodium chloride)/dm^3,0.99362 g/cm^3,2.99 ,True
0.22 g(acetic acid)/dm^3,68.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.9983 g/cm^3,2.99 ,True
0.2 g(acetic acid)/dm^3,37.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.99093 g/cm^3,3.08 ,False
0.22 g(acetic acid)/dm^3,34.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,0.9948 g/cm^3,3.4 ,False
0.27 g(acetic acid)/dm^3,35.0 mg/dm^3,0.063 g(sodium chloride)/dm^3,0.9911 g/cm^3,3.38 ,True
0.4 g(acetic acid)/dm^3,24.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.99576 g/cm^3,3.22 ,False
0.26 g(acetic acid)/dm^3,32.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,0.9936 g/cm^3,3.24 ,True
0.2 g(acetic acid)/dm^3,50.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.99941 g/cm^3,2.94 ,True
0.31 g(acetic acid)/dm^3,36.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9965 g/cm^3,2.94 ,False
0.635 g(acetic acid)/dm^3,16.0 mg/dm^3,0.077 g(sodium chloride)/dm^3,0.99748 g/cm^3,3.51 ,False
0.36 g(acetic acid)/dm^3,24.0 mg/dm^3,0.086 g(sodium chloride)/dm^3,0.99556 g/cm^3,3.4 ,False
0.27 g(acetic acid)/dm^3,34.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,0.9953 g/cm^3,3.36 ,True
0.12 g(acetic acid)/dm^3,18.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.99477 g/cm^3,3.36 ,False
0.33 g(acetic acid)/dm^3,18.0 mg/dm^3,0.091 g(sodium chloride)/dm^3,0.9976 g/cm^3,3.37 ,False
0.29 g(acetic acid)/dm^3,44.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.99715 g/cm^3,3.08 ,True
